*START TRACE LOG----sample_c5_log----------------------
time_ms,ref,steering,left_count,right_count
401,55,-4,64,-146
901,77,-12,122,-52
1401,45,0,194,33
1901,52,-2,273,109
2401,52,-2,352,188
2901,51,-2,429,264
3401,52,-2,508,342
3901,51,-2,588,422
4401,52,-2,669,502
4901,51,-2,747,582
5401,51,-2,826,661
5901,50,-2,909,741
6401,63,-7,987,821
6901,68,-9,1053,921
7401,69,-9,1113,1026
7901,73,-11,1170,1133
8401,65,-8,1229,1245
8901,68,-9,1290,1349
9401,69,-9,1350,1455
9901,67,-8,1413,1564
10401,57,-4,1476,1667
10901,52,-2,1551,1753
11401,51,-2,1635,1838
11901,51,-2,1717,1921
12401,52,-2,1800,2004
12901,49,-1,1880,2084
13401,49,-1,1965,2166
13901,48,-1,2046,2247
14401,52,-2,2129,2328
14901,49,-1,2211,2409
15401,50,-2,2294,2492
15901,50,-2,2374,2571
16401,56,-4,2454,2654
16901,60,-6,2527,2747
17401,65,-8,2595,2841
17901,62,-6,2660,2941
18401,61,-6,2730,3040
18901,66,-8,2797,3136
19401,63,-7,2864,3236
19901,63,-7,2930,3336
20401,65,-8,2997,3439
20901,62,-6,3064,3537
21401,63,-7,3130,3636
21901,64,-7,3197,3737
22401,50,-2,3266,3832
22901,53,-3,3345,3914
23401,49,-1,3425,3995
23901,51,-2,3503,4075
24401,49,-1,3584,4158
24901,56,-4,3662,4236
25401,58,-5,3733,4323
25901,57,-4,3804,4413
26401,59,-5,3874,4503
26901,57,-4,3944,4592
27401,57,-4,4012,4675
27901,61,-6,4083,4765
28401,60,-6,4155,4860
28901,57,-4,4229,4950
29401,57,-4,4306,5045
29901,54,-3,4381,5140
30401,56,-4,4459,5235
30901,54,-3,4534,5327
31401,53,-3,4609,5421
31901,56,-4,4686,5516
32401,55,-4,4758,5609
32901,54,-3,4835,5701
33401,57,-4,4909,5792
33901,56,-4,4981,5885
34401,53,-3,5057,5978
34901,53,-3,5132,6064
35401,50,-2,5210,6150
35901,45,0,5291,6233
36401,50,-2,5376,6314
36901,50,-2,5455,6393
37401,51,-2,5537,6473
37901,52,-2,5618,6558
38401,66,-8,5693,6650
38901,64,-7,5755,6750
39401,67,-8,5817,6854
39901,67,-8,5878,6960
40401,68,-9,5940,7063
40901,68,-9,5999,7169
41401,71,-10,6057,7275
41901,68,-9,6115,7388
42401,51,-2,6182,7481
42901,51,-2,6259,7562
43401,46,0,6337,7644
43901,49,-1,6419,7721
44401,45,0,6501,7811
44901,50,-2,6583,7890
45401,53,-3,6669,7970
45901,47,0,6748,8055
46401,50,-2,6833,8137
46901,50,-2,6914,8218
47401,50,-2,6999,8301
47901,47,0,7082,8386
48401,50,-2,7167,8470
48901,49,-1,7249,8550
49401,56,-4,7333,8636
49901,68,-9,7403,8736
50401,70,-10,7463,8847
50901,70,-10,7526,8958
51401,67,-8,7586,9069
51901,68,-9,7647,9184
52401,65,-8,7711,9294
52901,64,-7,7775,9404
53401,50,-2,7843,9510
53901,50,-2,7927,9597
54401,51,-2,8009,9681
54901,47,0,8096,9768
55401,47,0,8181,9854
55901,48,-1,8267,9938
56401,48,-1,8352,10021
56901,47,0,8438,10106
57401,47,0,8524,10191
57901,49,-1,8608,10276
58401,48,-1,8693,10358
58901,51,-2,8778,10444
59401,59,-5,8855,10536
59901,59,-5,8925,10636
60401,59,-5,8997,10735
60901,63,-7,9065,10835
61401,62,-6,9134,10939
61901,61,-6,9205,11040
62401,64,-7,9273,11141
62901,64,-7,9342,11245
63401,61,-6,9410,11350
63901,62,-6,9478,11452
64401,59,-5,9548,11556
64901,50,-2,9619,11653
65401,50,-2,9702,11737
65901,46,0,9783,11822
66401,47,0,9866,11907
66901,48,-1,9948,11989
67401,56,-4,10029,12076
67901,54,-3,10104,12167
68401,59,-5,10177,12258
68901,57,-4,10248,12351
69401,52,-2,10319,12443
69901,51,-2,10392,12532
70401,56,-4,10469,12629
70901,53,-3,10541,12726
71401,55,-4,10622,12821
71901,53,-3,10699,12918
72401,53,-3,10779,13015
72901,54,-3,10858,13113
73401,54,-3,10937,13212
73901,52,-2,11015,13307
74401,53,-3,11092,13406
74901,52,-2,11172,13503
75401,56,-4,11250,13599
75901,54,-3,11329,13697
76401,53,-3,11405,13794
76901,47,0,11487,13889
77401,45,0,11568,13978
77901,42,1,11656,14065
78401,44,0,11742,14149
78901,35,4,11828,14236
79401,49,-1,11915,14318
79901,53,-3,11996,14407
80401,62,-6,12071,14510
80901,65,-8,12135,14618
81401,65,-8,12199,14724
81901,63,-7,12264,14834
82401,72,-10,12325,14944
82901,66,-8,12385,15058
83401,68,-9,12448,15169
83901,52,-2,12511,15274
84401,47,0,12591,15361
84901,48,-1,12672,15444
85401,45,0,12756,15527
85901,43,0,12842,15620
86401,45,0,12931,15704
86901,49,-1,13017,15788
87401,46,0,13103,15875
87901,46,0,13190,15961
88401,46,0,13274,16046
