TOPPERS/ASP3 Kernel Release 3.7.0 for Lego SPIKE Prime Hub(STM32F413VGT6:ARM Cortex-M4) (Jun 24 2026, 14:08:46)
Copyright (C) 2000-2003 by Embedded and Real-Time Systems Laboratory
                            Toyohashi Univ. of Technology, JAPAN
Copyright (C) 2004-2022 by Embedded and Real-Time Systems Laboratory
            Graduate School of Information Science, Nagoya Univ., JAPAN

System logging task is started.
Press force sensor to start
Start Line Trace and logging
Stopped. Connect USB and press force sensor to dump log
*START TRACE LOG----sample_c5_log----------------------
time_ms,ref,steering,left,right
401,87,-16,14,46
901,51,-2,28,32
1401,57,-4,26,34
1901,54,-3,27,33
2401,56,-4,26,34
2901,51,-2,28,32
3401,56,-4,26,34
3901,55,-4,26,34
4401,54,-3,27,33
4901,52,-2,28,32
5401,54,-3,27,33
5901,63,-7,23,37
6401,70,-10,20,40
6901,77,-12,18,42
7401,74,-11,19,41
7901,67,-8,22,38
8401,64,-7,23,37
8901,72,-10,20,40
9401,57,-4,26,34
9901,52,-2,28,32
10401,52,-2,28,32
10901,51,-2,28,32
11401,47,0,30,30
11901,56,-4,26,34
12401,52,-2,28,32
12901,37,3,33,27
13401,38,2,32,28
13901,41,1,31,29
14401,38,2,32,28
14901,58,-5,25,35
15401,74,-11,19,41
15901,67,-8,22,38
16401,59,-5,25,35
16901,60,-6,24,36
17401,64,-7,23,37
17901,44,0,30,30
18401,4,16,46,14
18901,40,2,32,28
19401,31,5,35,25
19901,46,0,30,30
20401,54,-3,27,33
20901,36,3,33,27
21401,31,5,35,25
21901,72,-10,20,40
22401,64,-7,23,37
22901,55,-4,26,34
23401,58,-5,25,35
23901,55,-4,26,34
24401,60,-6,24,36
24901,56,-4,26,34
25401,61,-6,24,36
25901,57,-4,26,34
26401,58,-5,25,35
26901,58,-5,25,35
27401,56,-4,26,34
27901,49,-1,29,31
28401,47,0,30,30
28901,42,1,31,29
29401,50,-2,28,32
29901,56,-4,26,34
30401,55,-4,26,34
30901,67,-8,22,38
31401,66,-8,22,38
31901,69,-9,21,39
32401,70,-10,20,40
32901,75,-12,18,42
33401,77,-12,18,42
33901,59,-5,25,35
34401,56,-4,26,34
34901,49,-1,29,31
35401,70,-10,20,40
35901,51,-2,28,32
36401,51,-2,28,32
36901,48,-1,29,31
37401,54,-3,27,33
37901,52,-2,28,32
38401,52,-2,28,32
38901,51,-2,28,32
39401,50,-2,28,32
39901,62,-6,24,36
40401,69,-9,21,39
40901,70,-10,20,40
41401,74,-11,19,41
41901,69,-9,21,39
42401,66,-8,22,38
42901,59,-5,25,35
43401,52,-2,28,32
43901,52,-2,28,32
44401,51,-2,28,32
44901,50,-2,28,32
45401,52,-2,28,32
45901,52,-2,28,32
46401,48,-1,29,31
46901,52,-2,28,32
47401,48,-1,29,31
47901,63,-7,23,37
48401,63,-7,23,37
48901,63,-7,23,37
49401,64,-7,23,37
49901,67,-8,22,38
50401,68,-9,21,39
50901,67,-8,22,38
51401,65,-8,22,38
51901,68,-9,21,39
52401,63,-7,23,37
52901,47,0,30,30
53401,44,0,30,30
53901,42,1,31,29
54401,43,0,30,30
54901,52,-2,28,32
55401,54,-3,27,33
55901,60,-6,24,36
56401,52,-2,28,32
56901,47,0,30,30
57401,58,-5,25,35
57901,55,-4,26,34
58401,57,-4,26,34
58901,56,-4,26,34
59401,58,-5,25,35
59901,58,-5,25,35
60401,57,-4,26,34
60901,55,-4,26,34
61401,53,-3,27,33
61901,56,-4,26,34
62401,53,-3,27,33
62901,50,-2,28,32
63401,41,1,31,29
63901,44,0,30,30
64401,37,3,33,27
64901,50,-2,28,32
65401,66,-8,22,38
65901,66,-8,22,38
66401,69,-9,21,39
66901,69,-9,21,39
67401,70,-10,20,40
67901,75,-12,18,42
68401,69,-9,21,39
68901,53,-3,27,33
69401,50,-2,28,32
69901,49,-1,29,31
70401,44,0,30,30
70901,48,-1,29,31
71401,48,-1,29,31
71901,51,-2,28,32
72401,49,-1,29,31
